video_id,clip_id,text,label,annotation,mode,label_by
1_2664,0,terrific it s just that i don t think penny wants me to go,-1.0,Negative,train,0
1_2669,0,what did you mean when you said you were going to miss me,-1.0,Negative,train,0
1_2778,0,ooh big talk from a man who was once treed by a chicken,1.0,Positive,train,0
1_2792,0,no i mean we can always go back to being friends,-1.0,Negative,train,0
1_2830,0,no i m behind on my wiki-reading i m kind of on a john grisham kick right now,-1.0,Negative,train,0
1_2837,0,- chocolate - no i don t want any chocolate,-1.0,Negative,train,0
1_3177,0,not a great movie but look at that beautiful desert,-1.0,Negative,train,0
1_3204,0,right that was so good sweety and meaty at the same time,-1.0,Negative,train,0
1_3256,0,i m sorry fiddling with yourself in the bathtub is a real class act,1.0,Positive,train,0
1_3259,0,no i mean princess leia of course i mean bernadette she s a wonderful girl and she really likes you,1.0,Positive,train,0
1_3348,0,raj you should ve seen leonard s experiment the interference pattern was so cool when the electron beam was on,-1.0,Negative,train,0
1_3371,0,i was going to ask leonard to do it but he seemed a bit emotionally unstable and you don t want someone like that operating heavy machinery,-1.0,Negative,train,0
1_3419,0,oh we don t need to talk about that anymore leonard covered it pretty well in the car,1.0,Positive,train,0
1_3476,0,don t you think looking for a new city to live in is a bit of an overreaction,-1.0,Negative,train,0
1_3573,0,well i always figured it was to study us discover our weaknesses and report back to your alien overlords,1.0,Positive,train,0
1_3649,0,oh no no i said i m inviting you to come with me to stan lee s house,-1.0,Negative,train,0
1_3660,0,there a new girlfriend in there cause you might need one,1.0,Positive,train,0
1_3707,0,oh i m so glad you asked it like that you,1.0,Positive,train,0
1_3766,0,can we please talk about something else maybe something vaguely related to life as we know it on this planet,1.0,Positive,train,0
1_3911,0,that s very thoughtful but i think i ll finish my coffee first,-1.0,Negative,train,0
1_4145,0,a lot of people are working on that research so what is all this,1.0,Positive,train,0
1_4477,0,i just want to ask you a few questions about howard wolowitz,-1.0,Negative,train,0
1_4544,0,yes in fact our menses are synchronized penny bernadette tells me you re planning a girls night,-1.0,Negative,train,0
1_4552,0,so anyway to make a long story short turns out i have an unusually firm cervix,-1.0,Negative,train,0
1_4576,0,bernadette dared me to tell a dirty story the miller s tale by chaucer is the dirtiest story i know it would have been hidden in sock drawers if people in the 14th century had worn socks,-1.0,Negative,train,0
1_4639,0,well i m just glad you finally found yourself a keeper,-1.0,Negative,train,0
1_4789,0,i don t know somebody bigger and yeah sure why not you,1.0,Positive,train,0
1_4949,0,certainly i d like to raise two points number one i think they <i>are</i> talking about penises and number two these mimosas are kicking my little brown ass,-1.0,Negative,train,0
1_4967,0,we might be starting to zero in on your problem,1.0,Positive,train,0
1_5109,0,yeah but you were just sleeping because i forboded you to have sex,-1.0,Negative,train,0
1_5134,0,oh yeah yeah it s real great today i drove to van nuys for an audition i thought was going to be for a cat food commercial turned out to be porn,1.0,Positive,train,0
1_5166,0,yeah it s a great time to be alive isn t it,1.0,Positive,train,0
1_5169,0,i m not saying that you re not fun you re the most fun person i know,-1.0,Negative,train,0
1_5211,0,saying that while holding a snowflake is a bit heavy-handed don t you think,1.0,Positive,train,0
1_5212,0,i m sorry sheldon bought a loom and learned how to weave,-1.0,Negative,train,0
1_5496,0,okay amy you re being silly i m not concerned about who hangs out with who and i certainly don t have a problem with leonard s new girlfriend who wears way too much makeup ooh these are cute of course if i buy them i ll have to rent my womb out to a gay couple,1.0,Positive,train,0
1_5627,0,your girlfriend and your ex-girlfriend are hanging out together oh yeah that can only be good for you,1.0,Positive,train,0
1_5751,0,of course you do you re a cutie pie any girl would be lucky to have you,-1.0,Negative,train,0
1_5758,0,oh i could so see you being the face of hemorrhoids,1.0,Positive,train,0
1_5880,0,when you re done copping a feel that goes on my wrist,1.0,Positive,train,0
1_6039,0,i don t know what i m going to do i don t want to break up over this,-1.0,Negative,train,0
1_6092,0,we don t say that either i ll make you a list oh that would be mighty white of you,-1.0,Negative,train,0
1_6183,0,you have a thing of paper clips right there,-1.0,Negative,train,0
1_6188,0,oh my god that s where i know you from,1.0,Positive,train,0
1_6221,0,well if you don t mind looking like an orange traffic cone great,1.0,Positive,train,0
1_6355,0,said horrible things about each other in public all in all a pretty magical night,1.0,Positive,train,0
1_6427,0,hmm that s too bad we could have spent new year s eve waiting for the ball to drop,1.0,Positive,train,0
1_6428,0,sure you want to see what all the scientists are wearing this year,1.0,Positive,train,0
1_6627,0,well yeah sex with you is pretty great have you ever tried it,-1.0,Negative,train,0
1_6645,0,well that wady took high-wes pictures of my junk wast night for cwaigswist,-1.0,Negative,train,0
1_6648,0,you mean for a person whose neck massages feel like an eagle is trying to carry you to its nest,1.0,Positive,train,0
1_6769,0,hope your hands are steady it s the width of a single hair but this is just biology so i m sure it s no problem for a genius like you,1.0,Positive,train,0
1_6835,0,oh screw her she s just lucky we let her hang out with us,-1.0,Negative,train,0
1_7047,0,also instead of just living in your mother s house you could actually live inside her body,1.0,Positive,train,0
1_7082,0,to all the good times we had like uh when we went camping and spent that night telling each other all our secrets i told him i m addicted to pedicures and he told me he lost his virginity to his cousin,-1.0,Negative,train,0
1_7357,0,i m starting to get a sense of it,1.0,Positive,train,0
1_7395,0,well if that s all it takes it s a good thing you don t have a dog,1.0,Positive,train,0
1_7400,0,of course it is it s been in the news and it s a very famous boson,-1.0,Negative,train,0
1_7402,0,i didn t know they gave nobel prizes for making boom-boom in the potty,1.0,Positive,train,0
1_7443,0,we ve kind of been involved in a five-year experiment,-1.0,Negative,train,0
1_7445,0,my limbic system wants to take your pants off,-1.0,Negative,train,0
1_7449,0,okay the nasa web site says howard s final descent has begun,-1.0,Negative,train,0
1_7494,0,that sounds a little funny to an american ear,-1.0,Negative,train,0
1_7504,0,to stuart your comic book store is out of this world just like the guy in this picture was,-1.0,Negative,train,0
1_7675,0,anyway to this day i still can t see a box of crayons without crossing my legs,-1.0,Negative,train,0
1_7894,0,i did the guy at the liquor store said this stuff tastes great in coffee,-1.0,Negative,train,0
1_7938,0,come on let s just start walking there s got to be a gas station or something nearby,-1.0,Negative,train,0
1_7953,0,why don t you ask scotty to beam you up,1.0,Positive,train,0
1_8045,0,dumped her what did he use a forklift,1.0,Positive,train,0
1_8052,0,like burt and ernie you guys even teach me stuff about words and numbers,1.0,Positive,train,0
1_8136,0,yeah i m really looking forward to it in fact there s no place i would rather be than here,1.0,Positive,train,0
1_8159,0,and i m cool with surprises but nothing on a jumbotron i don t want to cry on a big screen like that,-1.0,Negative,train,0
1_8185,0,we could go to red lobster and talk about it we re all thinking it i just had the decency to wait for him to leave,-1.0,Negative,train,0
1_8217,0,go out with me on one date and i promise you you ll see,-1.0,Negative,train,0
1_8452,0,i think i m gonna go thank you for the burrito and the pork rinds and the 20-minute lecture on why monster trucks are better than regular trucks,1.0,Positive,train,0
1_8505,0,a lane frequented by liars like you you big liar,-1.0,Negative,train,0
1_8717,0,because you re in the right lane behind a bus and you won t go around it i m sure she finds it charming,1.0,Positive,train,0
1_8746,0,i enjoyed it when you told me i was going to be losing my virginity i didn t think you meant showing me <i>raiders of the lost ark</i> for the first time,1.0,Positive,train,0
1_8749,0,it was very entertaining despite the glaring story problem,1.0,Positive,train,0
1_8827,0,how do you not tear off his clothes and take him right here on this table,1.0,Positive,train,0
1_9087,0,why because i got an ugly itchy sweater and my brother got a car no i was her favorite,1.0,Positive,train,0
1_9963,0,what do you think i was gonna do at home,-1.0,Negative,train,0
1_9972,0,ooh i m gonna check the fridge and see if there are any clues inside a beer,1.0,Positive,train,0
1_9993,0,well my beer isn t flat and my rack s not saggy so far the future s great,1.0,Positive,train,0
1_10009,0,let the dead man talk so why do you think that,-1.0,Negative,train,0
1_10495,0,and if it turns out you don t - you and i could live together - you and oh sure,1.0,Positive,train,0
1_10748,0,there they go fighting again you d never hear her talk that way to sauvignon blanc,1.0,Positive,train,0
1_10797,0,i m with him three years nothing she s with two minutes and he s taking his pants off,-1.0,Negative,train,0
1_10853,0,okay sit down listen emily what happened between me and raj was a long time ago it was,-1.0,Negative,train,0
1_10857,0,it s true-- you re both gorgeous kind of says something about the man who could bed you both,-1.0,Negative,train,0
1_10890,0,boy when you met bernadette the field of robotics really took a hit,1.0,Positive,train,0
1_11006,0,maybe it s a good thing we came here it s like a lesson in what not to do,1.0,Positive,train,0
1_11021,0,same as all of us getting out of a car without underwear,1.0,Positive,train,0
1_11042,0,because no one wants to see neil degrasse tyson in a wet t-shirt bent over the hood of a porsche,-1.0,Negative,train,0
1_11051,0,well he said it was a tribble it could be a toupee but either way it s pretty cool,-1.0,Negative,train,0
1_11055,0,ah that s a good question apparently someone was being awfully flirty while not wearing their engagement ring causing another someone to show up here thinking the first someone might be available,1.0,Positive,train,0
1_11098,0,wow you still have it i just assumed it was balled up in the corner of a barn somewhere,1.0,Positive,train,0
1_11201,0,he probably got a new one finish your breakfast look there s an entire section of my dashboard that doesn t have any syrup on it,-1.0,Negative,train,0
1_11232,0,and i love that i work and do all the cleaning and you re okay with that,1.0,Positive,train,0
1_11242,0,i love that you take pride in your looks even when i have to pee in the morning and you re in there spending an hour on your hair,1.0,Positive,train,0
1_11322,0,you know what that was almost on topic i m gonna say good job sheldon,1.0,Positive,train,0
1_11439,0,no you re right we should do what you do have our mom send us pants from the walmart in houston,1.0,Positive,train,0
1_11485,0,is that why you had to take him to office depot last night,-1.0,Negative,train,0
1_11609,0,i ve uh created some other user accounts so i can post positive comments about their paper,-1.0,Negative,train,0
1_11697,0,the answer s in this puzzle box let s see if you can open it,1.0,Positive,train,0
1_11699,0,no stuart picked out those throw pillows all on his own,1.0,Positive,train,0
1_11723,0,not much but he seemed to be in a pretty good place,-1.0,Negative,train,0
1_11736,0,i don t know perhaps somebody took it off the carousel by mistake,-1.0,Negative,train,0
1_11773,0,this is why i ve been saying we should keep champagne on ice,1.0,Positive,train,0
1_11885,0,yeah turns out half a dozen menorahs really sets a mood,1.0,Positive,train,0
1_11889,0,yeah we just want to have the kind of dinner that we ve all had here so many times before,-1.0,Negative,train,0
1_11928,0,and if i had a friend they might have told me that,-1.0,Negative,train,0
1_12202,0,no need to as soon as she flies into california airspace i ll feel a disturbance in the force,1.0,Positive,train,0
1_12275,0,uh no i overheard bernadette tell howard she was making him a meat loaf and you don t have to not ask me twice,-1.0,Negative,train,0
1_12320,0,oh yes we ve got the moon and the trees and elizabeth mcnulty who apparently died when she was the same age i am,-1.0,Negative,train,0
1_12331,0,wow there s a denny s in vegas you can actually get married in,-1.0,Negative,train,0
2_223,0,i guess he wants to do a little dance you know make a little love well pretty much get down to that,1.0,Positive,train,0
2_370,0,you have to stop the q-tip when there is resistance,1.0,Positive,train,0
2_556,0,joey if i go first i want to be looking for my keys,1.0,Positive,train,0
2_484,0,yes yes it is in prison,1.0,Positive,train,0
2_498,0,uh so how many cameras are actually on you,1.0,Positive,train,0
2_494,0,but younger than some buildings,1.0,Positive,train,0
2_477,0,and then and then you clicked it again she s dressed she is a business woman she is walking down the street and oh oh oh she s naked,-1.0,Negative,train,0
2_35,0,oh no donõt go i have scared you i have said too much i am hopeless and awkward and desperate for love,-1.0,Negative,train,0
2_279,0,sounds like she has got the whole package,1.0,Positive,train,0
2_377,0,yeah either that or gloria estefan was right eventually the rhythm is going to get you,1.0,Positive,train,0
2_595,0,i d miss you if i broke up with you just trying to be supportive,-1.0,Negative,train,0
2_464,0,oh uh no thanks i just had an m&m,1.0,Positive,train,0
2_408,0,okay but if you are not coming back soon there is pretty much nothing i can do about it,1.0,Positive,train,0
2_574,0,you can t do anything,-1.0,Negative,train,0
2_409,0,i ll catch you guys later,-1.0,Negative,train,0
2_549,0,really,-1.0,Negative,train,0
2_598,0,our balcony seriously that s so funny because i told monica we should put lights on our balcony - and she said - no no its too cold nobody will go out there - i said maybe if we put some lights out there they will,1.0,Positive,train,0
2_73,0,oh my god you almost gave me a heart attack,1.0,Positive,train,0
2_374,0,janice janice,1.0,Positive,train,0
2_297,0,i am sorry it was a one time thing i was very drunk and it was someone else s subconscious,1.0,Positive,train,0
2_286,0,and sometimes i would want you to steal third and i ll go like this,1.0,Positive,train,0
2_509,0,crazy bitch,1.0,Positive,train,0
2_508,0,yes the doctor s say if they remove it he will die,1.0,Positive,train,0
2_472,0,and i just won a million dollars,-1.0,Negative,train,0
2_227,0,you sure he is going to be able to crack that code,1.0,Positive,train,0
2_226,0,these people find out that a spelling game is going over there there will be nobody left at our party,1.0,Positive,train,0
2_478,0,oh wait a minute i have no one,1.0,Positive,train,0
2_372,0,actually i yesterday i was smoking again today i am smoking still,1.0,Positive,train,0
2_241,0,oh i do oh no wait a minute i took it out of my shirt when i put it on this morning,1.0,Positive,train,0
2_109,0,i thought if i littered that crying indian might come by and save us,1.0,Positive,train,0
2_389,0,huh whats dufus speled backwards,1.0,Positive,train,0
2_449,0,oh no now its not gonna make any sense,1.0,Positive,train,0
2_50,0,nope that patch is no good,1.0,Positive,train,0
2_84,0,if that doesn t keep kids in school what will,1.0,Positive,train,0
2_322,0,hey my father s house does that,-1.0,Negative,train,0
2_416,0,were you so late because you were burying this woman,1.0,Positive,train,0
2_124,0,i am so confused as to what we have been doing so far,1.0,Positive,train,0
2_206,0,a tshirt that says - i don t belong here,1.0,Positive,train,0
2_204,0,oh oh i am convinced,1.0,Positive,train,0
2_380,0,oh just like give a minute to wake up for this ha ha you lost the ring you the worst best man ever,-1.0,Negative,train,0
2_622,0,pheebs you may know this you know strange things what is the boiling point of brain,1.0,Positive,train,0
2_583,0,and the bunny got away,1.0,Positive,train,0
2_456,0,and you are gonna make them all disappear,1.0,Positive,train,0
2_461,0,wow you look just like your son mrs tribbiani,1.0,Positive,train,0
2_152,0,your makeup,1.0,Positive,train,0
2_15,0,i m sorry man there is never a good time to have to stop catching on fire,1.0,Positive,train,0
2_421,0,joey s got a really bad hernia but its nothing that a laser eye surgery wont fix,1.0,Positive,train,0
2_586,0,see now that i see crying over but bambi is a cartoon,1.0,Positive,train,0
2_160,0,because his penis was too big i am sorry thatõs the kind of thing i do,-1.0,Negative,train,0
2_39,0,oh hurry up i want to sign that,1.0,Positive,train,0
2_66,0,nice jon joe you are quite the craftsman,1.0,Positive,train,0
2_310,0,well thank god your livelihood doesn t depend on it,1.0,Positive,train,0
2_345,0,oh i left them in my bulldozer i don t have tools,1.0,Positive,train,0
2_581,0,we were wondering what was taking so long with the gift but now we understand you were doing this,1.0,Positive,train,0
2_518,0,oh tons i am quite the woodsman,1.0,Positive,train,0
2_450,0,if only there was something in your head to control the things you say,1.0,Positive,train,0
2_567,0,well yes ross pressing my third nipple opens the delivery entrance to the magical land of narnia,1.0,Positive,train,0
2_115,0,i am sorry we donõt have your sheep,1.0,Positive,train,0
2_183,0,no rabies,1.0,Positive,train,0
2_104,0,was that place the sun,1.0,Positive,train,0
2_288,0,maybe he was nervous,1.0,Positive,train,0
2_420,0,no you are not chandler we still love you chandler,1.0,Positive,train,0
2_49,0,we got a box,-1.0,Negative,train,0
2_433,0,i was saying the actual words,1.0,Positive,train,0
2_428,0,his legs flail about as if independent from his body,-1.0,Negative,train,0
2_1,0,yes you can you re thinking about time you can t go back in time,-1.0,Negative,train,0
2_168,0,did i wake you,1.0,Positive,train,0
2_155,0,great now we can do laundry all night all night laundry,1.0,Positive,train,0
2_2,0,thatõs a good one too pheebs now all that i have to do is find a plane load of people whose resolution is to plummet to their deaths,1.0,Positive,train,0
2_120,0,you know some might find it amusing i myself find it regular,1.0,Positive,train,0
2_487,0,and hornswoggle what are you dating a character from fraggle rock ahh,1.0,Positive,train,0
2_280,0,joey ate my last stick of gum so i killed him do you think that was wrong,1.0,Positive,train,0
2_447,0,it was an accident not like i was across the street with a telescope and a box of donuts,1.0,Positive,train,0
2_148,0,hey that s joincidence with a c,1.0,Positive,train,0
2_532,0,the jamestown colony of virginia you see king george is giving us the land so,1.0,Positive,train,0
2_443,0,dear god this parachute is a knapsack,1.0,Positive,train,0
2_475,0,oh yeah ok including the waffles last week you now owe me seventeen zillion dollars,1.0,Positive,train,0
2_92,0,no no i am just looking for a man to draw on me with chalk,1.0,Positive,train,0
2_258,0,i am telling you when she leaned back i could see her brain,1.0,Positive,train,0
2_376,0,me i am gonna die alone,1.0,Positive,train,0
2_114,0,spanish midgets wrestling julie okay yes i see how they got there,1.0,Positive,train,0
2_246,0,well it will probably slow me down at first but once i am used to the extra weight i ll get back on track,1.0,Positive,train,0
2_268,0,a lonely grey couch o look cried ned and then the kingdom was his the end,-1.0,Negative,train,0
2_221,0,see joe that s why your parents told you not to jump on your bed,-1.0,Negative,train,0
2_369,0,i just have to do one thing really quickly its not a big thing get up||,1.0,Positive,train,0
2_103,0,no this is just part of a daredevil game that i play called wait until last moment before i burst and die,1.0,Positive,train,0
2_457,0,yes we all know how cruel a parent can be about the flatness of a child s pillow,1.0,Positive,train,0
2_112,0,i think this is probably why damone smokes in his cell alone,1.0,Positive,train,0
2_174,0,oh satan s minions at work again,1.0,Positive,train,0
2_490,0,maybe it s a contest you know like collect all five,1.0,Positive,train,0
2_430,0,i guess you would know that or else we would be in a predicament room,1.0,Positive,train,0
2_434,0,we can ok i am trying that,1.0,Positive,train,0
2_541,0,oh yeah right and what would my opening line be excuse me,1.0,Positive,train,0
2_392,0,ah you see perfect might be a problem had you said co-dependent or self-destructive,1.0,Positive,train,0
2_187,0,that s so funny because you look more like joey tribbiani man slash woman,1.0,Positive,train,0
2_113,0,no no the actual cartoon character of course the baloon,1.0,Positive,train,0
2_323,0,that monkey has got a ross on its ass,1.0,Positive,train,0
2_137,0,okay but if he asks i am not going to lie,-1.0,Negative,train,0
2_294,0,oh um i don t care,1.0,Positive,train,0
2_359,0,you know once you are inside you don t have to knock anymore,1.0,Positive,train,0
2_141,0,we think it was trying to spell out monkey,1.0,Positive,train,0
2_283,0,dee the sarcastic sister from what s happening,1.0,Positive,train,0
2_24,0,uh okay the fifth dentist caved and not they re all recommending trident,1.0,Positive,train,0
2_197,0,ah your own brand of vigilante justice,1.0,Positive,train,0
2_493,0,did you tell her about the magical night that starts with the flush of every toilet,1.0,Positive,train,0
2_573,0,oh i see i thought you just really really liked your new couch,1.0,Positive,train,0
2_440,0,no its not big not at all kind of the same lines as i don t know having a third nipple,1.0,Positive,train,0
2_105,0,why you never look down in the shower oh please i am allowed one joke in the monkey is penis genre,1.0,Positive,train,0
2_3,0,and i think my testicles may be in here too,1.0,Positive,train,0
2_71,0,thatõs good just keep rubbing your head that will turn back time,1.0,Positive,train,0
2_20,0,my duties all right,-1.0,Negative,train,0
2_463,0,ok,-1.0,Negative,train,0
2_602,0,no way,-1.0,Negative,train,0
2_88,0,oh,-1.0,Negative,train,0
2_172,0,the whole thing can we go,1.0,Positive,train,0
2_86,0,great okay here,-1.0,Negative,train,0
2_154,0,okay does this look like a garbage can to you,-1.0,Negative,train,0
2_557,0,oh my god wh-what happened,-1.0,Negative,train,0
2_163,0,oh boy i just can t watch it s too scary,1.0,Positive,train,0
2_87,0,yeah it would,-1.0,Negative,train,0
2_240,0,no,-1.0,Negative,train,0
2_267,0,really,-1.0,Negative,train,0
2_278,0,yeah,-1.0,Negative,train,0
2_284,0,what why,-1.0,Negative,train,0
2_340,0,oh oop,-1.0,Negative,train,0
2_536,0,what a baby,-1.0,Negative,train,0
2_588,0,i talk to you and nothin,-1.0,Negative,train,0
2_448,0,do you still wanna call em i wanna call em,-1.0,Negative,train,0
2_79,0,i m just gonna throw it out it s probably just a bunch of shampoo and,-1.0,Negative,train,0
2_191,0,so you re just bing,-1.0,Negative,train,0
2_99,0,all right cut let s pick again pick again,-1.0,Negative,train,0
2_208,0,it s that whole sensitive thing,-1.0,Negative,train,0
2_119,0,yeah what-what should i do,-1.0,Negative,train,0
2_406,0,for what for letting you throw me out of your office,1.0,Positive,train,0
2_423,0,like i have nothing better to do,1.0,Positive,train,0
2_55,0,oh hey great you re up rachel this is my sister krista krista this is rachel,-1.0,Negative,train,0
2_77,0,umm excuse me we switched apartments you can t eat are food anymore that-that gravy train had ended,-1.0,Negative,train,0
2_147,0,well we re trying to find someone to perform our wedding and they re all either boring or annoying or y know can t stop staring at the ladies,-1.0,Negative,train,0
2_559,0,what,-1.0,Negative,train,0
2_444,0,ross-ross you have no idea what this means to me,-1.0,Negative,train,0
2_299,0,what would you give to a kid if he wanted a ticket to play with,-1.0,Negative,train,0
2_313,0,oh sure go with the sissy,1.0,Positive,train,0
2_125,0,i mean if you hadn t initiated it i-i-i know i would ve,-1.0,Negative,train,0
2_552,0,danger,-1.0,Negative,train,0
2_181,0,yeah look,-1.0,Negative,train,0
2_107,0,you d better act surprised,-1.0,Negative,train,0
2_347,0,well what are you gonna do when he finds out he wasn t even asked,-1.0,Negative,train,0
2_495,0,okay you guys just relax i doooo,-1.0,Negative,train,0
2_525,0,y know what i mean like dubbies,-1.0,Negative,train,0
2_186,0,excellent hole joe,1.0,Positive,train,0
2_506,0,oh my god ohh that is it i m leaving you are just a horrible person,-1.0,Negative,train,0
2_486,0,anyway they want to take us out saturday night what do you say,-1.0,Negative,train,0
2_149,0,thank you,-1.0,Negative,train,0
2_150,0,take your shirt off and let s see what we re dealing with here what are you doing,-1.0,Negative,train,0
2_12,0,i studied for a year in barcelona,-1.0,Negative,train,0
2_611,0,just tell me how,1.0,Positive,train,0
2_429,0,i really really enjoyed it very exotic,1.0,Positive,train,0
2_127,0,when today some not a lot,-1.0,Negative,train,0
2_36,0,the big deal is i don t want naked greasy strangers in my apartment when i want to kick back with a puzzle beer cold beer,-1.0,Negative,train,0
2_173,0,we- we had our first fight this morning,-1.0,Negative,train,0
2_295,0,nobody sees the king,-1.0,Negative,train,0
2_356,0,yeah,-1.0,Negative,train,0
2_38,0,it s not a real game i made it up,-1.0,Negative,train,0
2_431,0,i m never gonna get to meet her anyway,-1.0,Negative,train,0
2_13,0,all right let s do it,-1.0,Negative,train,0
2_482,0,y know you you just stop being such a wuss and get those off and you come with us and watch naked girls dance around,-1.0,Negative,train,0
2_193,0,yeah a slice of cheesecake and-and a date if you re given em out,-1.0,Negative,train,0
2_203,0,it s not funny,-1.0,Negative,train,0
2_426,0,are you kidding i love that guy morning s here morning is here,-1.0,Negative,train,0
2_357,0,stating the obvious but thank you and it s not weird is it,1.0,Positive,train,0
2_590,0,yeah i don t think so joe,-1.0,Negative,train,0
2_316,0,yeah i m fine,-1.0,Negative,train,0
2_8,0,it s white plastic with a handle and it fits onto a stroller,-1.0,Negative,train,0
2_343,0,so to sum up i m professor geller,-1.0,Negative,train,0
2_334,0,when they re hungry enough they ll come in,-1.0,Negative,train,0
2_367,0,well don t cha wanna,-1.0,Negative,train,0
2_51,0,well i believe the piece of furniture was fine until your little breakfast adventure with angela delvecchio,-1.0,Negative,train,0
2_282,0,what-wh-what so we ll just stay married forever,1.0,Positive,train,0
2_225,0,i don t know something girlie,-1.0,Negative,train,0
2_514,0,what s going on that s what s going on,-1.0,Negative,train,0
2_272,0,weā€™re not peeking,-1.0,Negative,train,0
2_43,0,well y know i m 29 i mean who needs a savings account,1.0,Positive,train,0
2_575,0,why because she can sing and play guitar and do both at the same time,1.0,Positive,train,0
2_339,0,thank you,-1.0,Negative,train,0
2_69,0,cover yourself up,-1.0,Negative,train,0
2_217,0,ohhh,-1.0,Negative,train,0
2_213,0,wait wait chandler this is what you re havin for thanksgiving dinner,-1.0,Negative,train,0
2_96,0,i don t think so hello when you get in there,-1.0,Negative,train,0
2_188,0,you had no relationship,-1.0,Negative,train,0
2_29,0,it was like months ago,-1.0,Negative,train,0
2_177,0,i can show you an id if you want,1.0,Positive,train,0
2_358,0,i do not always have to be okay okay,-1.0,Negative,train,0
2_263,0,wow imagine what our kids would look like,-1.0,Negative,train,0
2_446,0,i d love to show ya but i just tucked her in,-1.0,Negative,train,0
2_594,0,i can t believe it can i tell you something i m a little mad at him now,-1.0,Negative,train,0
2_535,0,so i m sorry i just don t think we should go away together yet,-1.0,Negative,train,0
2_617,0,and protected them from a tornado,1.0,Positive,train,0
2_210,0,when are you coming home,-1.0,Negative,train,0
2_234,0,see there you go the cleansing works,-1.0,Negative,train,0
2_162,0,ow ow ow ow leg cramp leg cramp leg cramp,-1.0,Negative,train,0
2_437,0,oh yeah first off all chasing the churo guy isn t jogging,-1.0,Negative,train,0
2_341,0,well i d gotten judy pregnant i still don t know how that happened,1.0,Positive,train,0
2_318,0,was it not pain-free,1.0,Positive,train,0
2_579,0,no,-1.0,Negative,train,0
2_250,0,oh you say someone s name enough they turn around,1.0,Positive,train,0
2_194,0,and it came out squatternut buash,-1.0,Negative,train,0
2_78,0,i didn t know you and carol were getting divorced i m sorry,-1.0,Negative,train,0
2_337,0,uh listen i need that broiling pan that joey borrowed the other day,-1.0,Negative,train,0
2_435,0,me too there s a game on tuesday do you wanna go,-1.0,Negative,train,0
2_419,0,uh-huh,-1.0,Negative,train,0
2_564,0,and uh i don t know if you got any of that but i would really like a copy of the tape,-1.0,Negative,train,0
2_261,0,oh no no i just meant hypothetically,-1.0,Negative,train,0
2_422,0,well i like it here you go,-1.0,Negative,train,0
2_627,0,whoa whoa whoa,-1.0,Negative,train,0
2_445,0,okay,-1.0,Negative,train,0
2_585,0,you and i we re interfacing,-1.0,Negative,train,0
2_91,0,alright i m gonna go pick up a few things for the trip,-1.0,Negative,train,0
2_560,0,so now i have to go so he ll think that i m totally ok with seeing him,1.0,Positive,train,0
2_425,0,and did he,-1.0,Negative,train,0
2_53,0,you re gonna have to tell me how you did that,-1.0,Negative,train,0
2_481,0,all right,-1.0,Negative,train,0
2_293,0,no,-1.0,Negative,train,0
